"","Age","variable","value"
"1","15 to 24 years","Total",43055
"2","25 to 29 years","Total",21867
"3","30 to 34 years","Total",21139
"4","35 to 39 years","Total",19916
"5","40 to 44 years","Total",20003
"6","45 to 49 years","Total",20563
"7","50 to 54 years","Total",22233
"8","55 to 59 years","Total",21419
"9","60 to 64 years","Total",18998
"10","65 to 69 years","Total",15728
"11","70 to 74 years","Total",11209
"12","75 years and over","Total",19056
"13","15 to 24 years","Total.with.Income",27026
"14","25 to 29 years","Total.with.Income",19222
"15","30 to 34 years","Total.with.Income",19006
"16","35 to 39 years","Total.with.Income",18091
"17","40 to 44 years","Total.with.Income",18313
"18","45 to 49 years","Total.with.Income",18961
"19","50 to 54 years","Total.with.Income",20419
"20","55 to 59 years","Total.with.Income",19820
"21","60 to 64 years","Total.with.Income",17681
"22","65 to 69 years","Total.with.Income",15110
"23","70 to 74 years","Total.with.Income",10881
"24","75 years and over","Total.with.Income",18441
"25","15 to 24 years","X.1.to..2.499.or.loss",5623
"26","25 to 29 years","X.1.to..2.499.or.loss",955
"27","30 to 34 years","X.1.to..2.499.or.loss",1099
"28","35 to 39 years","X.1.to..2.499.or.loss",908
"29","40 to 44 years","X.1.to..2.499.or.loss",942
"30","45 to 49 years","X.1.to..2.499.or.loss",959
"31","50 to 54 years","X.1.to..2.499.or.loss",978
"32","55 to 59 years","X.1.to..2.499.or.loss",1084
"33","60 to 64 years","X.1.to..2.499.or.loss",1041
"34","65 to 69 years","X.1.to..2.499.or.loss",404
"35","70 to 74 years","X.1.to..2.499.or.loss",265
"36","75 years and over","X.1.to..2.499.or.loss",467
"37","15 to 24 years","X.2.500.to..4.999",2750
"38","25 to 29 years","X.2.500.to..4.999",513
"39","30 to 34 years","X.2.500.to..4.999",415
"40","35 to 39 years","X.2.500.to..4.999",327
"41","40 to 44 years","X.2.500.to..4.999",333
"42","45 to 49 years","X.2.500.to..4.999",364
"43","50 to 54 years","X.2.500.to..4.999",384
"44","55 to 59 years","X.2.500.to..4.999",363
"45","60 to 64 years","X.2.500.to..4.999",403
"46","65 to 69 years","X.2.500.to..4.999",226
"47","70 to 74 years","X.2.500.to..4.999",186
"48","75 years and over","X.2.500.to..4.999",351
"49","15 to 24 years","X.5.000.to..7.499",2646
"50","25 to 29 years","X.5.000.to..7.499",653
"51","30 to 34 years","X.5.000.to..7.499",477
"52","35 to 39 years","X.5.000.to..7.499",468
"53","40 to 44 years","X.5.000.to..7.499",437
"54","45 to 49 years","X.5.000.to..7.499",445
"55","50 to 54 years","X.5.000.to..7.499",408
"56","55 to 59 years","X.5.000.to..7.499",499
"57","60 to 64 years","X.5.000.to..7.499",482
"58","65 to 69 years","X.5.000.to..7.499",468
"59","70 to 74 years","X.5.000.to..7.499",388
"60","75 years and over","X.5.000.to..7.499",943
"61","15 to 24 years","X.7.500.to..9.999",2128
"62","25 to 29 years","X.7.500.to..9.999",739
"63","30 to 34 years","X.7.500.to..9.999",544
"64","35 to 39 years","X.7.500.to..9.999",468
"65","40 to 44 years","X.7.500.to..9.999",508
"66","45 to 49 years","X.7.500.to..9.999",592
"67","50 to 54 years","X.7.500.to..9.999",814
"68","55 to 59 years","X.7.500.to..9.999",883
"69","60 to 64 years","X.7.500.to..9.999",864
"70","65 to 69 years","X.7.500.to..9.999",944
"71","70 to 74 years","X.7.500.to..9.999",840
"72","75 years and over","X.7.500.to..9.999",1474
"73","15 to 24 years","X.10.000.to..12.499",2180
"74","25 to 29 years","X.10.000.to..12.499",965
"75","30 to 34 years","X.10.000.to..12.499",728
"76","35 to 39 years","X.10.000.to..12.499",706
"77","40 to 44 years","X.10.000.to..12.499",748
"78","45 to 49 years","X.10.000.to..12.499",808
"79","50 to 54 years","X.10.000.to..12.499",915
"80","55 to 59 years","X.10.000.to..12.499",914
"81","60 to 64 years","X.10.000.to..12.499",1066
"82","65 to 69 years","X.10.000.to..12.499",1197
"83","70 to 74 years","X.10.000.to..12.499",983
"84","75 years and over","X.10.000.to..12.499",1874
"85","15 to 24 years","X.12.500.to..14.999",1292
"86","25 to 29 years","X.12.500.to..14.999",647
"87","30 to 34 years","X.12.500.to..14.999",538
"88","35 to 39 years","X.12.500.to..14.999",423
"89","40 to 44 years","X.12.500.to..14.999",405
"90","45 to 49 years","X.12.500.to..14.999",403
"91","50 to 54 years","X.12.500.to..14.999",595
"92","55 to 59 years","X.12.500.to..14.999",552
"93","60 to 64 years","X.12.500.to..14.999",705
"94","65 to 69 years","X.12.500.to..14.999",941
"95","70 to 74 years","X.12.500.to..14.999",828
"96","75 years and over","X.12.500.to..14.999",1569
"97","15 to 24 years","X.15.000.to..17.499",1703
"98","25 to 29 years","X.15.000.to..17.499",945
"99","30 to 34 years","X.15.000.to..17.499",766
"100","35 to 39 years","X.15.000.to..17.499",739
"101","40 to 44 years","X.15.000.to..17.499",626
"102","45 to 49 years","X.15.000.to..17.499",626
"103","50 to 54 years","X.15.000.to..17.499",740
"104","55 to 59 years","X.15.000.to..17.499",743
"105","60 to 64 years","X.15.000.to..17.499",705
"106","65 to 69 years","X.15.000.to..17.499",790
"107","70 to 74 years","X.15.000.to..17.499",669
"108","75 years and over","X.15.000.to..17.499",1644
"109","15 to 24 years","X.17.500.to..19.999",1047
"110","25 to 29 years","X.17.500.to..19.999",654
"111","30 to 34 years","X.17.500.to..19.999",540
"112","35 to 39 years","X.17.500.to..19.999",570
"113","40 to 44 years","X.17.500.to..19.999",438
"114","45 to 49 years","X.17.500.to..19.999",476
"115","50 to 54 years","X.17.500.to..19.999",526
"116","55 to 59 years","X.17.500.to..19.999",520
"117","60 to 64 years","X.17.500.to..19.999",629
"118","65 to 69 years","X.17.500.to..19.999",772
"119","70 to 74 years","X.17.500.to..19.999",613
"120","75 years and over","X.17.500.to..19.999",1315
"121","15 to 24 years","X.20.000.to..22.499",1543
"122","25 to 29 years","X.20.000.to..22.499",1306
"123","30 to 34 years","X.20.000.to..22.499",1087
"124","35 to 39 years","X.20.000.to..22.499",837
"125","40 to 44 years","X.20.000.to..22.499",820
"126","45 to 49 years","X.20.000.to..22.499",891
"127","50 to 54 years","X.20.000.to..22.499",839
"128","55 to 59 years","X.20.000.to..22.499",883
"129","60 to 64 years","X.20.000.to..22.499",813
"130","65 to 69 years","X.20.000.to..22.499",704
"131","70 to 74 years","X.20.000.to..22.499",564
"132","75 years and over","X.20.000.to..22.499",1031
"133","15 to 24 years","X.22.500.to..24.999",706
"134","25 to 29 years","X.22.500.to..24.999",663
"135","30 to 34 years","X.22.500.to..24.999",556
"136","35 to 39 years","X.22.500.to..24.999",483
"137","40 to 44 years","X.22.500.to..24.999",461
"138","45 to 49 years","X.22.500.to..24.999",459
"139","50 to 54 years","X.22.500.to..24.999",514
"140","55 to 59 years","X.22.500.to..24.999",505
"141","60 to 64 years","X.22.500.to..24.999",506
"142","65 to 69 years","X.22.500.to..24.999",669
"143","70 to 74 years","X.22.500.to..24.999",490
"144","75 years and over","X.22.500.to..24.999",882
"145","15 to 24 years","X.25.000.to..27.499",1000
"146","25 to 29 years","X.25.000.to..27.499",1176
"147","30 to 34 years","X.25.000.to..27.499",913
"148","35 to 39 years","X.25.000.to..27.499",784
"149","40 to 44 years","X.25.000.to..27.499",698
"150","45 to 49 years","X.25.000.to..27.499",748
"151","50 to 54 years","X.25.000.to..27.499",757
"152","55 to 59 years","X.25.000.to..27.499",739
"153","60 to 64 years","X.25.000.to..27.499",635
"154","65 to 69 years","X.25.000.to..27.499",584
"155","70 to 74 years","X.25.000.to..27.499",395
"156","75 years and over","X.25.000.to..27.499",785
"157","15 to 24 years","X.27.500.to..29.999",458
"158","25 to 29 years","X.27.500.to..29.999",608
"159","30 to 34 years","X.27.500.to..29.999",490
"160","35 to 39 years","X.27.500.to..29.999",390
"161","40 to 44 years","X.27.500.to..29.999",403
"162","45 to 49 years","X.27.500.to..29.999",421
"163","50 to 54 years","X.27.500.to..29.999",471
"164","55 to 59 years","X.27.500.to..29.999",493
"165","60 to 64 years","X.27.500.to..29.999",452
"166","65 to 69 years","X.27.500.to..29.999",517
"167","70 to 74 years","X.27.500.to..29.999",366
"168","75 years and over","X.27.500.to..29.999",572
"169","15 to 24 years","X.30.000.to..32.499",795
"170","25 to 29 years","X.30.000.to..32.499",1245
"171","30 to 34 years","X.30.000.to..32.499",1094
"172","35 to 39 years","X.30.000.to..32.499",1020
"173","40 to 44 years","X.30.000.to..32.499",887
"174","45 to 49 years","X.30.000.to..32.499",825
"175","50 to 54 years","X.30.000.to..32.499",992
"176","55 to 59 years","X.30.000.to..32.499",935
"177","60 to 64 years","X.30.000.to..32.499",775
"178","65 to 69 years","X.30.000.to..32.499",522
"179","70 to 74 years","X.30.000.to..32.499",279
"180","75 years and over","X.30.000.to..32.499",541
"181","15 to 24 years","X.32.500.to..34.999",260
"182","25 to 29 years","X.32.500.to..34.999",467
"183","30 to 34 years","X.32.500.to..34.999",364
"184","35 to 39 years","X.32.500.to..34.999",269
"185","40 to 44 years","X.32.500.to..34.999",303
"186","45 to 49 years","X.32.500.to..34.999",314
"187","50 to 54 years","X.32.500.to..34.999",380
"188","55 to 59 years","X.32.500.to..34.999",331
"189","60 to 64 years","X.32.500.to..34.999",373
"190","65 to 69 years","X.32.500.to..34.999",355
"191","70 to 74 years","X.32.500.to..34.999",332
"192","75 years and over","X.32.500.to..34.999",486
"193","15 to 24 years","X.35.000.to..37.499",499
"194","25 to 29 years","X.35.000.to..37.499",972
"195","30 to 34 years","X.35.000.to..37.499",858
"196","35 to 39 years","X.35.000.to..37.499",737
"197","40 to 44 years","X.35.000.to..37.499",743
"198","45 to 49 years","X.35.000.to..37.499",697
"199","50 to 54 years","X.35.000.to..37.499",688
"200","55 to 59 years","X.35.000.to..37.499",755
"201","60 to 64 years","X.35.000.to..37.499",655
"202","65 to 69 years","X.35.000.to..37.499",431
"203","70 to 74 years","X.35.000.to..37.499",318
"204","75 years and over","X.35.000.to..37.499",432
"205","15 to 24 years","X.37.500.to..39.999",211
"206","25 to 29 years","X.37.500.to..39.999",430
"207","30 to 34 years","X.37.500.to..39.999",361
"208","35 to 39 years","X.37.500.to..39.999",313
"209","40 to 44 years","X.37.500.to..39.999",368
"210","45 to 49 years","X.37.500.to..39.999",348
"211","50 to 54 years","X.37.500.to..39.999",312
"212","55 to 59 years","X.37.500.to..39.999",359
"213","60 to 64 years","X.37.500.to..39.999",374
"214","65 to 69 years","X.37.500.to..39.999",300
"215","70 to 74 years","X.37.500.to..39.999",245
"216","75 years and over","X.37.500.to..39.999",320
"217","15 to 24 years","X.40.000.to..42.499",449
"218","25 to 29 years","X.40.000.to..42.499",921
"219","30 to 34 years","X.40.000.to..42.499",890
