"","Education","variable","value"
"1","Less than 9th grade","Total",9896
"2","9th to 12th grade, no diploma","Total",14686
"3","High school graduate (includes equivalency)","Total",62575
"4","Some college, no degree","Total",35164
"5","Associate degree","Total",20867
"6","Bachelor's degree","Total",43500
"7","Master's degree","Total",18471
"8","Professional degree","Total",3365
"9","Doctorate degree","Total",3609
"10","Less than 9th grade","Total.with.Income",8111
"11","9th to 12th grade, no diploma","Total.with.Income",12379
"12","High school graduate (includes equivalency)","Total.with.Income",56677
"13","Some college, no degree","Total.with.Income",32814
"14","Associate degree","Total.with.Income",19797
"15","Bachelor's degree","Total.with.Income",41484
"16","Master's degree","Total.with.Income",17868
"17","Professional degree","Total.with.Income",3260
"18","Doctorate degree","Total.with.Income",3557
"19","Less than 9th grade","X.1.to..2.499.or.loss",396
"20","9th to 12th grade, no diploma","X.1.to..2.499.or.loss",738
"21","High school graduate (includes equivalency)","X.1.to..2.499.or.loss",2503
"22","Some college, no degree","X.1.to..2.499.or.loss",1570
"23","Associate degree","X.1.to..2.499.or.loss",935
"24","Bachelor's degree","X.1.to..2.499.or.loss",2063
"25","Master's degree","X.1.to..2.499.or.loss",713
"26","Professional degree","X.1.to..2.499.or.loss",74
"27","Doctorate degree","X.1.to..2.499.or.loss",109
"28","Less than 9th grade","X.2.500.to..4.999",312
"29","9th to 12th grade, no diploma","X.2.500.to..4.999",412
"30","High school graduate (includes equivalency)","X.2.500.to..4.999",1263
"31","Some college, no degree","X.2.500.to..4.999",698
"32","Associate degree","X.2.500.to..4.999",370
"33","Bachelor's degree","X.2.500.to..4.999",547
"34","Master's degree","X.2.500.to..4.999",199
"35","Professional degree","X.2.500.to..4.999",24
"36","Doctorate degree","X.2.500.to..4.999",39
"37","Less than 9th grade","X.5.000.to..7.499",504
"38","9th to 12th grade, no diploma","X.5.000.to..7.499",708
"39","High school graduate (includes equivalency)","X.5.000.to..7.499",1974
"40","Some college, no degree","X.5.000.to..7.499",941
"41","Associate degree","X.5.000.to..7.499",459
"42","Bachelor's degree","X.5.000.to..7.499",757
"43","Master's degree","X.5.000.to..7.499",236
"44","Professional degree","X.5.000.to..7.499",49
"45","Doctorate degree","X.5.000.to..7.499",41
"46","Less than 9th grade","X.7.500.to..9.999",1015
"47","9th to 12th grade, no diploma","X.7.500.to..9.999",1385
"48","High school graduate (includes equivalency)","X.7.500.to..9.999",3248
"49","Some college, no degree","X.7.500.to..9.999",1279
"50","Associate degree","X.7.500.to..9.999",655
"51","Bachelor's degree","X.7.500.to..9.999",758
"52","Master's degree","X.7.500.to..9.999",239
"53","Professional degree","X.7.500.to..9.999",45
"54","Doctorate degree","X.7.500.to..9.999",42
"55","Less than 9th grade","X.10.000.to..12.499",1045
"56","9th to 12th grade, no diploma","X.10.000.to..12.499",1484
"57","High school graduate (includes equivalency)","X.10.000.to..12.499",4051
"58","Some college, no degree","X.10.000.to..12.499",1857
"59","Associate degree","X.10.000.to..12.499",896
"60","Bachelor's degree","X.10.000.to..12.499",1110
"61","Master's degree","X.10.000.to..12.499",370
"62","Professional degree","X.10.000.to..12.499",49
"63","Doctorate degree","X.10.000.to..12.499",43
"64","Less than 9th grade","X.12.500.to..14.999",645
"65","9th to 12th grade, no diploma","X.12.500.to..14.999",917
"66","High school graduate (includes equivalency)","X.12.500.to..14.999",2867
"67","Some college, no degree","X.12.500.to..14.999",1311
"68","Associate degree","X.12.500.to..14.999",687
"69","Bachelor's degree","X.12.500.to..14.999",833
