Gender,Cumulative Fraction,Mean Income,,
Female,0.217560271,202,,
Female,0.249676782,651.4414255,,
Female,0.291337744,1439.158975,,
Female,0.344938779,2576.454846,,
Female,0.40807666,3895.223191,,
Female,0.450140695,4810.229654,,
Female,0.496083352,5848.097195,,
Female,0.530055518,6662.760707,,
Female,0.576675032,7811.867053,,
Female,0.605338809,8561.023418,,
Female,0.641303521,9532.787441,,
Female,0.663518138,10169.14977,,
Female,0.701026694,11271.08083,,
Female,0.717149593,11773.84217,,
Female,0.744824701,12667.23987,,
Female,0.759456993,13166.61094,,
Female,0.787839379,14161.76011,,
Female,0.798501787,14554.60907,,
Female,0.817932923,15296.12663,,
Female,0.828929957,15737.15787,,
Female,0.849539889,16585.65143,,
Female,0.857540497,16931.17135,,
Female,0.871001597,17532.89885,,
Female,0.877542018,17838.39532,,
Female,0.891953761,18529.91375,,
Female,0.897216518,18794.75419,,
Female,0.906753365,19288.49384,,
Female,0.91133166,19535.83026,,
Female,0.920655563,20054.91497,,
Female,0.924564606,20281.45907,,
Female,0.932694501,20764.34426,,
Female,0.935386721,20930.85227,,
Female,0.941858696,21341.6105,,
Female,0.944725835,21530.78542,,
Female,0.949022739,21821.70568,,
Female,0.951327097,21983.47918,,
Female,0.955053616,22251.88478,,
Female,0.95684843,22385.83454,,
Female,0.959548255,22592.34788,,
Female,0.96144954,22742.81467,,
Female,0.987824169,25244.71694,,
Female,0.994288539,26172.82783,,
Female,0.996851472,26658.04801,,
Female,1,27906.26305,,
Male,0.148207732,145,,
Male,0.167528982,541.1612701,,
Male,0.190455787,1207.919054,,
Male,0.220747304,2241.902366,,
Male,0.259414057,3562.388015,,
Male,0.286633575,4524.513961,,
Male,0.324257466,5843.957891,,
Male,0.353635467,6903.241153,,
Male,0.39555207,8375.455068,,
Male,0.420815211,9293.885023,,
Male,0.457080955,10599.70575,,
Male,0.479061909,11423.32495,,
Male,0.519305082,12919.86928,,
Male,0.536395091,13580.76329,,
Male,0.569912206,14885.08786,,
Male,0.586218047,15543.36274,,
Male,0.621069055,16955.80163,,
Male,0.634327152,17513.04837,,
Male,0.656906336,18483.50576,,
Male,0.67039079,19087.44812,,
Male,0.701256285,20476.8804,,
Male,0.712695436,21009.4715,,
Male,0.730464518,21855.16837,,
Male,0.739227797,22290.35015,,
Male,0.762760918,23473.01023,,
Male,0.770966386,23900.41551,,
Male,0.785251176,24660.38859,,
Male,0.791888309,25028.98252,,
Male,0.808064803,25944.24279,,
Male,0.814410904,26315.83037,,
Male,0.828024705,27126.04391,,
Male,0.833618975,27471.34233,,
Male,0.847523808,28342.41925,,
Male,0.852568352,28669.4131,,
Male,0.860353441,29186.00026,,
Male,0.864298534,29457.68853,,
Male,0.874387621,30163.64982,,
Male,0.878009345,30425.68308,,
Male,0.883029637,30797.95855,,
Male,0.886853466,31090.78652,,
Male,0.951519022,36957.00167,,
Male,0.976062669,40231.33129,,
Male,0.986014325,42009.9437,,
Male,0.999967663,47463.16902,,
