"","year","variable","value"
"1",2014,"male","66,971"
"2",2013,"male","67,396"
"3",2013,"male","67,012"
"4",2012,"male","68,003"
"5",2011,"male","68,324"
"6",2010,"male","68,068"
"7",2009,"male","68,856"
"8",2008,"male","67,890"
"9",2007,"male","66,608"
"10",2006,"male","67,805"
"11",2005,"male","68,060"
"12",2004,"male","67,671"
"13",2003,"male","68,233"
"14",2002,"male","68,949"
"15",2001,"male","68,911"
"16",2000,"male","69,018"
"17",1999,"male","67,384"
"18",1998,"male","65,127"
"19",1997,"male","64,261"
"20",1996,"male","63,201"
"21",1995,"male","62,303"
"22",1994,"male","62,073"
"23",1993,"male","61,373"
"24",1992,"male","58,668"
"25",1991,"male","58,256"
"26",1990,"male","58,583"
"27",1989,"male","60,874"
"28",1988,"male","59,813"
"29",1987,"male","59,664"
"30",1986,"male","59,328"
"31",1985,"male","57,541"
"32",1984,"male","56,145"
"33",1983,"male","55,616"
"34",1982,"male","55,697"
"35",1981,"male","55,458"
"36",1980,"male","56,154"
"37",1979,"male","58,052"
"38",1978,"male","58,386"
"39",1977,"male","57,488"
"40",1976,"male","56,783"
"41",1975,"male","56,148"
"42",1974,"male","56,934"
"43",1973,"male","57,668"
"44",1972,"male","57,228"
"45",1971,"male","54,204"
"46",1970,"male","53,982"
"47",1969,"male","53,375"
"48",1968,"male","50,333"
"49",1967,"male","48,748"
"50",2014,"female","48,897"
"51",2013,"female","49,434"
"52",2013,"female","48,901"
"53",2012,"female","49,200"
"54",2011,"female","49,320"
"55",2010,"female","49,124"
"56",2009,"female","49,514"
"57",2008,"female","47,585"
"58",2007,"female","48,179"
"59",2006,"female","48,724"
"60",2005,"female","47,320"
"61",2004,"female","47,422"
"62",2003,"female","47,860"
"63",2002,"female","47,166"
"64",2001,"female","47,296"
"65",2000,"female","45,251"
"66",1999,"female","44,226"
"67",1998,"female","44,506"
"68",1997,"female","43,025"
"69",1996,"female","42,618"
"70",1995,"female","40,956"
"71",1994,"female","41,534"
"72",1993,"female","40,837"
"73",1992,"female","39,576"
"74",1991,"female","38,916"
"75",1990,"female","38,624"
"76",1989,"female","38,798"
"77",1988,"female","38,193"
"78",1987,"female","37,604"
"79",1986,"female","36,903"
"80",1985,"female","35,741"
"81",1984,"female","34,802"
"82",1983,"female","34,276"
"83",1982,"female","33,760"
"84",1981,"female","32,761"
"85",1980,"female","32,941"
"86",1979,"female","33,055"
"87",1978,"female","33,078"
"88",1977,"female","32,487"
"89",1976,"female","32,540"
"90",1975,"female","31,738"
"91",1974,"female","31,978"
"92",1973,"female","31,736"
"93",1972,"female","31,829"
"94",1971,"female","30,765"
"95",1970,"female","30,888"
"96",1969,"female","29,869"
"97",1968,"female","27,305"
"98",1967,"female","26,863"
"99",2014,"diff","18,074"
"100",2013,"diff","17,962"
"101",2013,"diff","18,111"
"102",2012,"diff","18,803"
"103",2011,"diff","19,004"
"104",2010,"diff","18,944"
"105",2009,"diff","19,342"
"106",2008,"diff","20,305"
"107",2007,"diff","18,429"
"108",2006,"diff","19,081"
"109",2005,"diff","20,740"
"110",2004,"diff","20,249"
"111",2003,"diff","20,373"
"112",2002,"diff","21,783"
"113",2001,"diff","21,615"
"114",2000,"diff","23,767"
"115",1999,"diff","23,158"
"116",1998,"diff","20,621"
"117",1997,"diff","21,236"
"118",1996,"diff","20,583"
"119",1995,"diff","21,347"
"120",1994,"diff","20,539"
"121",1993,"diff","20,536"
"122",1992,"diff","19,092"
"123",1991,"diff","19,340"
"124",1990,"diff","19,959"
"125",1989,"diff","22,076"
"126",1988,"diff","21,620"
"127",1987,"diff","22,060"
"128",1986,"diff","22,425"
"129",1985,"diff","21,800"
"130",1984,"diff","21,343"
"131",1983,"diff","21,340"
"132",1982,"diff","21,937"
"133",1981,"diff","22,697"
"134",1980,"diff","23,213"
"135",1979,"diff","24,997"
"136",1978,"diff","25,308"
"137",1977,"diff","25,001"
"138",1976,"diff","24,243"
"139",1975,"diff","24,410"
"140",1974,"diff","24,956"
"141",1973,"diff","25,932"
"142",1972,"diff","25,399"
"143",1971,"diff","23,439"
"144",1970,"diff","23,094"
"145",1969,"diff","23,506"
"146",1968,"diff","23,028"
"147",1967,"diff","21,885"
"148",2014,"dod","-3,811"
"149",2013,"dod","-3,923"
"150",2013,"dod","-3,774"
"151",2012,"dod","-3,082"
"152",2011,"dod","-2,881"
"153",2010,"dod","-2,941"
"154",2009,"dod","-2,543"
"155",2008,"dod","-1,580"
"156",2007,"dod","-3,456"
"157",2006,"dod","-2,804"
"158",2005,"dod","-1,145"
"159",2004,"dod","-1,636"
"160",2003,"dod","-1,512"
"161",2002,"dod","-102"
"162",2001,"dod","-270"
"163",2000,"dod","1,882"
"164",1999,"dod","1,273"
"165",1998,"dod","-1,264"
"166",1997,"dod","-649"
"167",1996,"dod","-1,302"
"168",1995,"dod","-538"
"169",1994,"dod","-1,346"
"170",1993,"dod","-1,349"
"171",1992,"dod","-2,793"
"172",1991,"dod","-2,545"
"173",1990,"dod","-1,926"
"174",1989,"dod","191"
"175",1988,"dod","-265"
"176",1987,"dod","175"
"177",1986,"dod","540"
"178",1985,"dod","-85"
"179",1984,"dod","-542"
"180",1983,"dod","-545"
"181",1982,"dod","52"
"182",1981,"dod","812"
"183",1980,"dod","1,328"
"184",1979,"dod","3,112"
"185",1978,"dod","3,423"
"186",1977,"dod","3,116"
"187",1976,"dod","2,358"
"188",1975,"dod","2,525"
"189",1974,"dod","3,071"
"190",1973,"dod","4,047"
"191",1972,"dod","3,514"
"192",1971,"dod","1,554"
"193",1970,"dod","1,209"
"194",1969,"dod","1,621"
"195",1968,"dod","1,143"
"196",1967,"dod","0"
