State FIPS Code,County FIPS Code,Name,Median Household Income
00,000,United States,53657
01,000,Alabama,42917
01,001,Autauga County,54366
01,003,Baldwin County,49626
01,005,Barbour County,34971
01,007,Bibb County,39546
01,009,Blount County,45567
01,011,Bullock County,26580
01,013,Butler County,32512
01,015,Calhoun County,41123
01,017,Chambers County,34116
01,019,Cherokee County,38013
01,021,Chilton County,41450
01,023,Choctaw County,35049
01,025,Clarke County,36620
01,027,Clay County,35940
01,029,Cleburne County,40418
01,031,Coffee County,46931
01,033,Colbert County,43057
01,035,Conecuh County,29101
01,037,Coosa County,34679
01,039,Covington County,36149
01,041,Crenshaw County,34445
01,043,Cullman County,39922
01,045,Dale County,41940
01,047,Dallas County,26602
01,049,DeKalb County,36241
01,051,Elmore County,54298
01,053,Escambia County,37077
01,055,Etowah County,39904
01,057,Fayette County,35664
01,059,Franklin County,33881
01,061,Geneva County,34425
01,063,Greene County,26504
01,065,Hale County,33315
01,067,Henry County,39930
01,069,Houston County,40124
01,071,Jackson County,36923
01,073,Jefferson County,44852
01,075,Lamar County,34553
01,077,Lauderdale County,41324
01,079,Lawrence County,41574
01,081,Lee County,41256
01,083,Limestone County,51175
01,085,Lowndes County,30675
01,087,Macon County,28518
01,089,Madison County,58833
01,091,Marengo County,32977
01,093,Marion County,37707
01,095,Marshall County,36536
01,097,Mobile County,42943
01,099,Monroe County,34733
01,101,Montgomery County,43054
01,103,Morgan County,45082
01,105,Perry County,27403
01,107,Pickens County,31933
01,109,Pike County,31844
01,111,Randolph County,36939
01,113,Russell County,35585
01,115,St. Clair County,50571
01,117,Shelby County,69432
01,119,Sumter County,25413
01,121,Talladega County,39999
01,123,Tallapoosa County,36779
01,125,Tuscaloosa County,46892
01,127,Walker County,37245
01,129,Washington County,41321
01,131,Wilcox County,24035
01,133,Winston County,35528
02,000,Alaska,70898
02,013,Aleutians East Borough,55462
02,016,Aleutians West Census Area,68387
02,020,Anchorage Borough,75200
02,050,Bethel Census Area,45808
02,060,Bristol Bay Borough,75364
02,068,Denali Borough,69692
02,070,Dillingham Census Area,51082
02,090,Fairbanks North Star Borough,67801
02,100,Haines Borough,67260
02,105,Hoonah-Angoon Census Area,51687
02,110,Juneau Borough,80835
02,122,Kenai Peninsula Borough,62532
02,130,Ketchikan Gateway Borough,57776
02,150,Kodiak Island Borough,67972
02,164,Lake and Peninsula Borough,45570
02,170,Matanuska-Susitna Borough,73981
02,180,Nome Census Area,47160
02,185,North Slope Borough,75682
02,188,Northwest Arctic Borough,65192
02,195,Petersburg Borough,56655
02,198,Prince of Wales-Hyder Census Area,43245
02,220,Sitka Borough,65765
02,230,Skagway Municipality,69170
02,240,Southeast Fairbanks Census Area,59641
02,261,Valdez-Cordova Census Area,73998
02,270,Wade Hampton Census Area,30877
02,275,Wrangell City and Borough,52201
