"","year","variable","value"
"1",2014,"all",30176
"2",2013,"all",30027
"3",2013,"all",28829
"4",2012,"all",28281
"5",2011,"all",27554
"6",2010,"all",26558
"7",2009,"all",26530
"8",2008,"all",26964
"9",2007,"all",26804
"10",2006,"all",26352
"11",2005,"all",25036
"12",2004,"all",23857
"13",2003,"all",23276
"14",2002,"all",22794
"15",2001,"all",22851
"16",2000,"all",22346
"17",1999,"all",21239
"18",1998,"all",20120
"19",1997,"all",19241
"20",1996,"all",18136
"21",1995,"all",17227
"22",1994,"all",16555
"23",1993,"all",15777
"24",1992,"all",14847
"25",1991,"all",14617
"26",1990,"all",14387
"27",1989,"all",14056
"28",1988,"all",13123
"29",1987,"all",12391
"30",1986,"all",11670
"31",1985,"all",11013
"32",1984,"all",10328
"33",1983,"all",9494
"34",1982,"all",8980
"35",1981,"all",8476
"36",1980,"all",7787
"37",1979,"all",7168
"38",1978,"all",6455
"39",1977,"all",5785
"40",1976,"all",5271
"41",1975,"all",4818
"42",1974,"all",4445
"43",1973,"all",4141
"44",1972,"all",3769
"45",1971,"all",3417
"46",1970,"all",3177
"47",1969,"all",3007
"48",1968,"all",2731
"49",1967,"all",2464
"50",2014,"white",35629
"51",2013,"white",35270
"52",2013,"white",34103
"53",2012,"white",33434
"54",2011,"white",32673
"55",2010,"white",31387
"56",2009,"white",30941
"57",2008,"white",31313
"58",2007,"white",31051
"59",2006,"white",30431
"60",2005,"white",28946
"61",2004,"white",27439
"62",2003,"white",26774
"63",2002,"white",26128
"64",2001,"white",26134
"65",2000,"white",25529
"66",1999,"white",24312
"67",1998,"white",22952
"68",1997,"white",21905
"69",1996,"white",20520
"70",1995,"white",NA
"71",1994,"white",NA
"72",1993,"white",NA
"73",1992,"white",NA
"74",1991,"white",NA
"75",1990,"white",NA
"76",1989,"white",NA
"77",1988,"white",NA
"78",1987,"white",NA
"79",1986,"white",NA
"80",1985,"white",NA
"81",1984,"white",NA
"82",1983,"white",NA
"83",1982,"white",NA
"84",1981,"white",NA
"85",1980,"white",NA
"86",1979,"white",NA
"87",1978,"white",NA
"88",1977,"white",NA
"89",1976,"white",NA
"90",1975,"white",NA
"91",1974,"white",NA
"92",1973,"white",NA
"93",1972,"white",NA
"94",1971,"white",NA
"95",1970,"white",NA
"96",1969,"white",NA
"97",1968,"white",NA
"98",1967,"white",NA
"99",2014,"black",21066
"100",2013,"black",20658
"101",2013,"black",19957
"102",2012,"black",19267
"103",2011,"black",18988
"104",2010,"black",18019
"105",2009,"black",18135
"106",2008,"black",18406
"107",2007,"black",18428
"108",2006,"black",17902
"109",2005,"black",16874
"110",2004,"black",16025
"111",2003,"black",15775
"112",2002,"black",15441
"113",2001,"black",14953
"114",2000,"black",14796
"115",1999,"black",14362
"116",1998,"black",12957
"117",1997,"black",12351
"118",1996,"black",11899
"119",1995,"black",10982
"120",1994,"black",10650
"121",1993,"black",9863
"122",1992,"black",9239
"123",1991,"black",9170
"124",1990,"black",9017
"125",1989,"black",8747
"126",1988,"black",8271
"127",1987,"black",7645
"128",1986,"black",7207
"129",1985,"black",6840
"130",1984,"black",6277
"131",1983,"black",5728
"132",1982,"black",5360
"133",1981,"black",5129
"134",1980,"black",4804
"135",1979,"black",4444
"136",1978,"black",4034
"137",1977,"black",3574
"138",1976,"black",3286
"139",1975,"black",2972
"140",1974,"black",2718
"141",1973,"black",2521
"142",1972,"black",2300
"143",1971,"black",2062
"144",1970,"black",1869
"145",1969,"black",1762
"146",1968,"black",1580
"147",1967,"black",1402
"148",2014,"asian",34096
"149",2013,"asian",35413
"150",2013,"asian",32281
"151",2012,"asian",32898
"152",2011,"asian",30775
"153",2010,"asian",31135
"154",2009,"asian",33823
"155",2008,"asian",33309
"156",2007,"asian",34142
"157",2006,"asian",35783
"158",2005,"asian",33133
"159",2004,"asian",32793
"160",2003,"asian",31670
"161",2002,"asian",31755
"162",2001,"asian",32463
"163",2000,"asian",32099
"164",1999,"asian",30493
"165",1998,"asian",27158
"166",1997,"asian",26815
"167",1996,"asian",26936
"168",1995,"asian",25575
"169",1994,"asian",26721
"170",1993,"asian",25324
"171",1992,"asian",NA
"172",1991,"asian",NA
"173",1990,"asian",NA
"174",1989,"asian",NA
"175",1988,"asian",NA
"176",1987,"asian",NA
"177",1986,"asian",NA
"178",1985,"asian",NA
"179",1984,"asian",NA
"180",1983,"asian",NA
"181",1982,"asian",NA
"182",1981,"asian",NA
"183",1980,"asian",NA
"184",1979,"asian",NA
"185",1978,"asian",NA
"186",1977,"asian",NA
"187",1976,"asian",NA
"188",1975,"asian",NA
"189",1974,"asian",NA
"190",1973,"asian",NA
"191",1972,"asian",NA
"192",1971,"asian",NA
"193",1970,"asian",NA
"194",1969,"asian",NA
"195",1968,"asian",NA
"196",1967,"asian",NA
"197",2014,"hispanic",17699
"198",2013,"hispanic",17638
"199",2013,"hispanic",16950
"200",2012,"hispanic",16627
"201",2011,"hispanic",16294
"202",2010,"hispanic",16336
"203",2009,"hispanic",16621
"204",2008,"hispanic",17235
"205",2007,"hispanic",17816
"206",2006,"hispanic",18107
"207",2005,"hispanic",17557
"208",2004,"hispanic",17678
"209",2003,"hispanic",17367
"210",2002,"hispanic",17748
"211",2001,"hispanic",17387
"212",2000,"hispanic",17391
"213",1999,"hispanic",16439
"214",1998,"hispanic",16597
"215",1997,"hispanic",15848
"216",1996,"hispanic",15102
"217",1995,"hispanic",14357
"218",1994,"hispanic",14916
"219",1993,"hispanic",14251
"220",1992,"hispanic",14208
"221",1991,"hispanic",14689
"222",1990,"hispanic",14805
"223",1989,"hispanic",15472
"224",1988,"hispanic",15305
"225",1987,"hispanic",15262
"226",1986,"hispanic",14432
